CPU only time (ns): 1.07943e+10
PIM only time (ns): 1.92931e+10
Reuse offloading time (ns): 1.01985e+10 = CPU 9.49225e+09 + PIM 4.79617e+08 + REUSE 2.26618e+08 + SWITCH 8.78036e+08
============================================================
  BBLID  Decision            CPU            PIM     difference          Hash(hi)          Hash(lo)
     69         C        576.666           2033       -1456.33  16225759c79c2a2f  3cdd36e813d84b49
     70         C         512739    2.88715e+06   -2.37441e+06  16d9e1311acc1935  0ceccbaef463a8a4
     71         C         419140    3.14573e+06   -2.72659e+06  16e4443798b77fa3  42986fad2d5781a2
     72         C        11.3333            249       -237.667  1710e4e5e69c33b5  a915ffc724ad66cb
     73         C        313.333            489       -175.667  1746f80575b485af  5f605a02fd33f5f6
     74         C      1.516e+06    1.91814e+06        -402140  185c5f244f69092d  402cf1f1e274356d
     75         P        4342.33          37330       -32987.7  18eb1eb913f82ba3  66fd507bc2a76faf
     76         C             17            116            -99  191599885927778a  99d593538fc9e840
     77         C             14            140           -126  1a36cd0b28dfe41f  8980061373b1c8ac
     78         C    5.22669e+07    7.07267e+07   -1.84598e+07  1a5771c378d14c9a  de624c20d57e49cc
     79         C    1.47373e+08    1.85414e+08    -3.8041e+07  1a633b006b97cbea  fe6521394f0a00a9
     80         C       0.666666             72       -71.3333  1a9f2977505ad058  9722dc571e8499e1
     81         C           1993          33013         -31020  1aa6ec96e8c19640  64d028c4ff16c11d
     82         P        1.66667             89       -87.3333  1b6f510d2445d212  c5745e1233d2dc96
     83         C            116             75             41  1bdefd2a25e743e4  ca27620816d48c4c
     84         C        75.9999           2236          -2160  1c66ed02e56ca4fe  1b4d16ee67d3569a
     85         C        73259.3         401173        -327914  1c6bf89c80870005  ffae84f8e0966b3d
     86         P       0.333333              4       -3.66667  1cc36151713bb6cc  41c5f8f6a52e5ed2
     87         C         181744         445041        -263297  1d1b3691108cacc3  ff6477d35ea957b8
     88         C    9.24289e+07    1.67903e+08   -7.54741e+07  1d5b7c1a2c2e3201  639e1f0f2ddc5ee7
     89         C         503682         379595         124087  1d6afc3b72d0d39e  757ff5e43d0ad675
     90         C       0.666666            176       -175.333  1e0392888e38d257  79b67c821cd7ade0
     91         C    3.90882e+06    7.09284e+06   -3.18402e+06  1e25e180f2f43131  34c26023657c0f4c
     92         P        478.333            476          2.333  1e286ce866d98257  58807f54572bdee3
     93         C         572351         664610         -92259  1e5fc29ee3a7887c  f23da545e0d2be76
     94         C       0.333333             60       -59.6667  1ece948b4cd54ca5  916d65c4273c020a
     95         C         101502          55592          45910  1f0ebfc57402a852  30c08509143eabdd
     96         C        364.666           2931       -2566.33  2097b3da80ca7276  8b857ef4ea8f221b
     97         P         176550          55460         121090  20aaddbf1f8c7c48  e992763b23bbfc67
     98         C    1.34205e+07    2.71666e+07   -1.37461e+07  212a4803534a60b9  e222ccb297918b01
     99         C       0.333333            147       -146.667  2136660c12578674  1c871a858e2241c8
    100         C        1670.33          15929       -14258.7  21f7a826c2b35c27  3608dc5271271152
    101         C        78.6666             88        -9.3334  224eb88a68e72bda  ff795db0fafcf115
    102         C    3.05176e+08    4.42326e+08    -1.3715e+08  227e4c775bc3a0d5  29215958178b3cb5
    103         C       0.666666              5       -4.33333  22f7c7656a1b954c  a50da5dd29bd0a8e
    104         C         359635    3.35139e+06   -2.99176e+06  23430a223d9ae6d7  cda168136f95ee4d
    105         C        1.33333            642       -640.667  243d1cdc5d50e4cc  df181edf03404520
    106         C    9.49352e+07    1.97133e+08   -1.02198e+08  24619cb8083b9f58  4d882ba06fee6a50
    107         C       0.999999              9             -8  246a66126d7bb0b0  6b91ced0d87fb93d
    108         C    9.11855e+06    1.31996e+07   -4.08105e+06  24985dfa20fa2d38  c457c153862150c6
    109         C           2282          20427         -18145  25d2882412fda16c  a5c02b7f0c3207b4
    110         C        1.33333            352       -350.667  26af0b06a01d152a  e444598660e25be8
    111         C       0.333333             69       -68.6667  276314c15cb247ba  cd49730ecd5d1da9
    112         C        6734.66           8206       -1471.34  278075f319a67b06  ea6149aa71fd01b2
    113         P            482             65            417  27c31afac5d5fefc  c67829c89f1e9e7d
    114         C    1.97768e+06    3.11113e+06   -1.13345e+06  28f676b3bd938327  9759c924df0adad7
    115         C         126101    2.29972e+06   -2.17362e+06  28fdaeeee0445342  d0181c1cc8b70c5b
    116         C        11.3333         139429        -139418  2923c6f386f42c33  d2445b6c7badafa9
    117         C         278998         324242         -45244  29f51a9bd262672d  337b2b6e232aae0b
    118         C        2946.33          39179       -36232.7  2a0f3705a843f16d  0d7dfbfd01da5d1a
    119         C        1802.33            148        1654.33  2a72a198d5ec64a0  e44b0fda20b1d1c6
    120         C            373            523           -150  2ab14dfe98e347d3  4f8c0c639d4fad52
    121         C           1613              0           1613  2af8071f5c062bf4  529be494879f20ac
    122         C       0.999999            260           -259  2b20346f32b6fd7e  711159e6bde54534
    123         C    2.85535e+07    9.58626e+07   -6.73091e+07  2baf56a5de1272db  8349f39f6f3254d9
    124         C       0.666666              5       -4.33333  2bc2ee2aab3fb31c  ed6a304bd1f1f60a
    125         P          15110          40071         -24961  2bca1fb0c2e14c62  668579cd0062ccb0
    126         C        1633.67           1706         -72.33  2c07b0c69d709e0b  24f35ea071977e34
    127         C         342769    2.35545e+06   -2.01268e+06  2c588dc78f9ce0c9  ebb285bf7d05291b
    128         C       0.333333            104       -103.667  2c8b4ff499412ad7  c558ca9c2522aaaa
    129         C    1.51217e+07    1.83908e+07    -3.2691e+06  2d3dec9635336568  d66630fd3da52044
    130         C              3            321           -318  2db26aefcf175495  8a668ebfc0d98a5a
    131         P        68564.3           3433        65131.3  2f02b2dd1929d778  2e360590af7d42d9
    132         C    2.18981e+06    2.03626e+06         153550  2fd010ed327572a7  dac6fb27fc350a97
    133         C       0.333333             69       -68.6667  2fdd3d41c6dc3851  b0aa1ab74581681e
    134         C    4.46926e+07    6.28411e+07   -1.81485e+07  3011800dfaecb696  a073420fd4e67d60
    135         C    4.34361e+07    1.36944e+08   -9.35079e+07  308f39bde77a2130  9628e47dd66d46a1
    136         C    1.80179e+06    2.99806e+06   -1.19627e+06  30b17e8caa1b04f0  e114716185b8df86
    137         C    7.23915e+06    2.21701e+07    -1.4931e+07  30b84a24c4f9b043  1e62fc8b2b0fd2c6
    138         P        430.666            459        -28.334  3105e659c524ce1a  07a763cc13a7798f
    139         P    2.00743e+06         761326     1.2461e+06  3123fcd7c62e6979  a58e5292b10abf97
    140         C    3.03782e+06    2.02009e+07   -1.71631e+07  313ab6e2b31055b6  7f66e87ddd1e9a2e
    141         C       0.333333              4       -3.66667  31a29afbfaec1940  7d6bcf505ca6d5f7
    142         C     1.4574e+06         720072         737328  31fa28a2ba2794b3  84221edf960c98c7
    143         C         900559         718793         181766  321af20967c7add4  1486a5f8860d5ea0
    144         C        259.333           3207       -2947.67  3260f430bf207faa  e122864f400a496d
    145         C        56416.3          28598        27818.3  33e90720a3495170  fc4f7f863d161e18
    146         C    1.59203e+07    4.33472e+07   -2.74269e+07  3429e692acdf5815  27b6763765ba8b85
    147         C    5.14266e+07    1.05752e+08   -5.43254e+07  343da38cfd05b0a2  22aa82f4f1b1a1df
    148         C        891.332          18433       -17541.7  34c86d8eaa366011  feb2c62e1032f035
    149         C           4108           3809            299  34efe07939bd1330  4af20935d0c500b1
    150         C            347            148            199  3514863086b3d1bc  6685fd97e8138fcb
    151         C       0.666666            368       -367.333  35554194db9acc4f  7358dd2795fc2ddb
    152         C        83.3332           9458       -9374.67  358fb4bd9e1ba51d  c07b4a6192386b77
    153         C           1778           8734          -6956  35d3cb265fc1d5fa  c676c21ffd0e5c18
    154         P       0.666666             70       -69.3333  3642ee49e954f0f7  b3b491f71ab81f7a
    155         P    1.07978e+06         186993         892787  36c7cfe19fa68e3d  a63100969c72fe55
    156         C        2162.33          24877       -22714.7  37432a1ad36a7987  6d989709242d141c
    157         C        36.3333            109       -72.6667  37c9bd36f3e6da35  423407555142cff7
    158         C        31255.6          59307       -28051.4  37f0eb7d493d7533  65e77f1c07733348
    159         C        358.333            725       -366.667  3870b16681c0739a  6856081646be3c9f
    160         C          43534         393210        -349676  38840c978277554d  364b199fd06c3ee2
    161         C        6883.66           2253        4630.66  38ab0c95a6cade61  81c5c5682685771a
    162         C        1.66667           2386       -2384.33  38d70a6f3076af3d  ebf8b563caeaf44c
    163         C        7.33333            291       -283.667  39994e6a618421a2  4f41c051e1630f80
    164         C    2.67881e+07    2.39857e+07     2.8024e+06  39a73d3560c2bdf2  b528711b4d64a3bc
    165         C       0.333333              4       -3.66667  39cce7a40fdce5df  2b04034b29ef92c9
    166         P       0.333333              8       -7.66667  3a11f1b2420ddf2e  c4dd6cb5553b9ad2
    167         C         147353         151060          -3707  3a1d27e8a7bef372  772d164006c28d43
    168         P         346733          65471         281262  3a4e5067b65d877a  e54572d828cbc2b3
    169         C        1.66667            512       -510.333  3a9df8fe02c664fa  b616da1ccd5c5859
    170         C        93.6666            256       -162.333  3c11a93e0a628cec  5a4bb9dbfe45da67
    171         C    1.28705e+08    3.37202e+08   -2.08497e+08  3c65957d141fde4a  de69f616c36d6615
    172         C       0.333333             55       -54.6667  3c8f32344e381840  83098e905b1a5713
    173         C        72.3333            461       -388.667  3d9b5581a8009162  d6b23ad1c5b5b61b
    174         C        66.6666             36        30.6666  3dc387b46b2612b9  7ef4876f2bf497bc
    175         C         159411         169698         -10287  3dc3940fa111669c  0698527be3c96e61
    176         C             20            333           -313  3dd4e7ffa9487f93  d9935ec916d370c0
    177         C          32833         672951        -640118  3f57804048bbfff9  955ee1cabb072a30
    178         P         150300          65656          84644  40ca79c3bc2e9d0d  9c45879c01dff440
    179         C        4372.66    1.51249e+06   -1.50812e+06  40d1c51420df235d  21c79f6ebe7e877a
    180         C    1.69358e+08    3.87623e+08   -2.18265e+08  4130193299826593  c922768c3be14d7e
    181         C         932727    6.68886e+06   -5.75613e+06  4168ead3485cee73  afaa4fee0a5555ce
    182         C    2.37271e+07    2.09811e+07      2.746e+06  42400d40c52eab40  94c5df936ff14458
    183         C         109525         787266        -677741  426b535538c87438  d75357a770bc2494
    184         P         301857    1.96327e+06   -1.66141e+06  4279c309114fdc43  0dd45f3b4bdbf11e
    185         C            266           3836          -3570  429b4a7c837be4ca  54c6a9a215edab60
    186         C    4.14535e+06     9.0447e+06   -4.89935e+06  4354470a22b2f047  5da497045eac3a84
    187         C    3.45346e+08    5.93814e+08   -2.48468e+08  4360366abf83a340  4d04ebf7431920e7
    188         C    6.94693e+07    1.33181e+08   -6.37117e+07  438a4a4cc56fccea  35d856701e5c2b1e
    189         C         753839     5.2428e+06   -4.48896e+06  43b2620c3822aabc  1a3c5873fd53e70e
    190         C        46633.3           1618        45015.3  43c6dab71e198ef9  0c0b4097a1471f71
    191         C    1.49016e+07    1.61817e+07    -1.2801e+06  43d5e1ff74e1f0cb  8648b43193167c1e
    192         C        1431.33          19642       -18210.7  43e52477487e82fb  a512d5719313cb1b
    193         C       0.666666             66       -65.3333  441cc2c756f5e82d  cc8e0a964f48961c
    194         C       0.666666             60       -59.3333  44dbb26836399601  c1b0527b9e143a63
    195         C    1.16091e+06         362700         798210  45657216ac941ed1  2a39dcdd756a162b
    196         C       0.333333              8       -7.66667  458e62ca46772f41  02103d171e90c34f
    197         C        126.667          25123       -24996.3  46176668909f6c44  1cac8915ff4d6c37
    198         P             27              0             27  462fce13c0e00959  757147d19318c597
    199         C       0.666666            297       -296.333  4679065f23944559  a5390b9b5322786f
    200         C        98727.2    6.53909e+08    -6.5381e+08  46ee44de32871425  c2c43b440b2e53d8
    201         C              2            109           -107  4705596eac2a8983  cd154f3420943e58
    202         C       0.999999            198           -197  47aca770964a4ab1  f5fbf6a924b97a44
    203         P         103853          31401          72452  4865f5aa2eb26962  b0e0c5074f165b89
    204         P         117835          25795          92040  48f8bb9b0418cc4b  d3a8b8ca9323f8e9
    205         C    4.33097e+06    1.59642e+07   -1.16332e+07  49198ece132f50c7  35a8f8cf74a32f74
    206         C    1.71642e+07    1.48444e+07     2.3198e+06  492f6949b4a4c808  7c36b0f7cb6fe8df
    207         P    1.27839e+07    2.02033e+06    1.07636e+07  4a08a4f28ef319f1  99ea6d6fb2490508
    208         C        98.3332              8        90.3332  4a3c40b2f8e39179  e3c9bad8212014d1
    209         C        53682.6    6.22227e+07    -6.2169e+07  4a52556e39f14351  e5e1b8d14fcfea5b
    210         C         755533    4.61251e+06   -3.85698e+06  4aa95b561b90c657  ae5ca1dfe3772a12
    211         P        78.6666            554       -475.333  4abf004095fdfb53  a5e055ed576cbd55
    212         P        5279.99          10328       -5048.01  4b1dee7ffe7ac7c3  44b6eb316baa152e
    213         C        128.333            263       -134.667  4b61f5a024782a3b  8df851ef603deb80
    214         C        689.333            428        261.333  4bc448609d889287  0fad2c79e883e208
    215         C         714633         817747        -103114  4bed8ac4d07d35fa  c4fc83e42dc250f2
    216         C       0.666666            428       -427.333  4c95526799d27cc6  a36248c55dcf0a06
    217         P       0.333333            108       -107.667  4caec554906fdd67  d593e8f6271abb14
    218         C           2821            658           2163  4cb19da7802eff72  224d06e7e54bba13
    219         C        7583.99           5168        2415.99  4cbaa5b7f62e1dae  2a4e4596299367b8
    220         C        710.999           7740          -7029  4d509c4495461bc0  8e555a43c0ca4184
    221         C       0.666666             56       -55.3333  4d65ad9606d537d4  cc823d321674c6ce
    222         C    1.10893e+07    1.77139e+07    -6.6246e+06  4dba3350ed6d7830  43c5cef6ea90d514
    223         C        1.66667           3727       -3725.33  4df7f9aa2a67446f  ab9c203be0925dcd
    224         C        16.6666            181       -164.333  4e2b57ea6d93fb39  bfb517cd598b7909
    225         C    1.38272e+07    4.59261e+07   -3.20989e+07  4ef893c1442e9c13  f1067293a76fc51c
    226         C    3.07118e+07     6.0224e+07   -2.95122e+07  4f238caf1e15f98c  f3dd4ddf9105c90a
    227         C         123425         405426        -282001  4f3f845492a8a2a6  4d067b24184e6444
    228         C    6.42737e+07    6.44317e+08   -5.80043e+08  4fa1e0b18a39a18c  2db14f5578c4a4a5
    229         C    4.34703e+07    4.75132e+07    -4.0429e+06  4ff528e46202a001  1f5d787cb64d6449
    230         C    2.79663e+06    3.21939e+07   -2.93973e+07  507de8698999b255  1b62520309a5e87d
    231         C        4178.33          38007       -33828.7  5090c8d825ec0965  d143f9ff41c2295e
    232         C        74.9999              8        66.9999  50a97f7ad7769fda  e88a1fa793d37b0c
    233         C      4.768e+07    1.62626e+08   -1.14946e+08  514aacceb60645c3  a161463211bba3dd
    234         C       0.333333              4       -3.66667  5192df94deb6b463  1529c0a1b7de98eb
    235         P           1894           5927          -4033  5269170a331bd54e  45412b7d57cb4bfa
    236         C    8.92843e+06    5.40054e+06    3.52789e+06  52a137a952c40453  1fe4a7945dde6af1
    237         P    8.93264e+06    1.20437e+06    7.72827e+06  538b42c413e13683  4fed572a008f5c21
    238         C        83542.9    2.06369e+06   -1.98015e+06  53c8b5085f739d5f  116d8f8053cbb708
    239         C    1.24651e+08     1.4662e+08    -2.1969e+07  5415ccebc8fd22ef  b906348132da636f
    240         C    1.54565e+06    2.81524e+06   -1.26959e+06  54204205df02414b  5c3cdd27e8f1e2af
    241         C        14535.3          13019         1516.3  542b679f1cf1da5e  3016b77d1d33c3fd
    242         C        5592.99         159663        -154070  5440e82c92d737f6  982e0d883d3b8335
    243         P            111            241           -130  5452453d42faaa1e  5024dbc9b5166e5b
    244         C     4.7369e+06    7.09811e+06   -2.36121e+06  54b4b050f2b4c7b1  7c7b20f2ab515ce8
    245         C        30656.3    2.05781e+07   -2.05474e+07  54b928aef18aa394  3ff30ed26af43c8d
    246         C         367723    2.31089e+06   -1.94317e+06  54d4aa0298268b59  36a3057fb07ec6ed
    247         C    7.15875e+06    2.34973e+07   -1.63386e+07  54fd699bcad6b9c2  db724a15fb391ff2
    248         C    1.38136e+07    1.02002e+07     3.6134e+06  55b38551586eb9ea  f903c393ceb82a6e
    249         C         140704    1.31465e+06   -1.17395e+06  55d14ec91a2d3e46  2aafb1af8c731e9a
    250         P    2.25163e+06         730020    1.52161e+06  566137ab1b6113e8  17ef4ef54e761186
    251         C    3.47892e+07    3.82931e+07    -3.5039e+06  56ad01d3c85adf7d  40298f59a75f1722
    252         P         102154          36017          66137  57262eb7437d4e55  5f6d59320310aa28
    253         C        12.3333            201       -188.667  5773e7c519af721f  5acdf0974f2b134d
    254         C       0.666666            117       -116.333  581abba0f66409c5  4acccd225720e40c
    255         C        38.3333            240       -201.667  585b9d87e327afe9  942d89971df6f7e7
    256         C    9.08671e+06    4.20917e+07    -3.3005e+07  586cbc94cb77f123  d9ed2f1c17c16c73
    257         C       0.333333            106       -105.667  59615234b221291c  7cd756d0def1c8e8
    258         C    2.74286e+07    2.62122e+07     1.2164e+06  5991fe63cd20745a  efb9d81f301b67ca
    259         C         108219          20319          87900  5b5c28a3b297764e  655001f52a2c6f57
    260         C       0.333333            132       -131.667  5d1b1d12f9e80075  78ebdb7e18d4972f
    261         C        1386.33          15524       -14137.7  5d9005f3fe5fe154  6c883d5efc4c5f00
    262         C       0.666666             66       -65.3333  5e0021da15073b75  20337dc8a0ee69d3
    263         C       0.666666             65       -64.3333  5e308f73f5dfbb11  5422ace65a9b13e4
    264         C        124.333            137        -12.667  5e4ed9a25afb02b7  bf9a652a5f8929e0
    265         C    1.55723e+06    1.45072e+07     -1.295e+07  5e82e9f58a08fd84  ea751d67d66f5c63
    266         C       0.333333              4       -3.66667  5ee5a30f31a1a157  c00f3062dc2b50c9
    267         C            390            811           -421  5f2d311855e10d1a  fc15f9b800792f91
    268         P         478398         192711         285687  5f51aa6b5c99db27  10b199dcbe64c0a0
    269         C    7.07303e+08    8.64965e+08   -1.57662e+08  5fe03d98faf8d5a8  537c75654ee71f66
    270         C    3.60783e+07    6.86702e+06    2.92113e+07  606d0f1f50c4725b  51cca7fb7efdd91d
    271         C    8.07544e+07    1.25603e+08   -4.48486e+07  608c1f6c86c10ec4  50936d388bb85a2c
    272         C        1033.33          16743       -15709.7  609998cfad63f0b0  454799518a752429
    273         C        337.666            466       -128.334  60d9e27831a96c38  70dd7ff0fdb6617c
    274         C       0.333333             65       -64.6667  60fc0c6cc709b89b  3cbd86b35bd62c03
    275         C        2.33333             43       -40.6667  6142826cf6b15676  851f0ed7df9b354c
    276         C       0.666666             70       -69.3333  61e4a033b1339517  41bee40588c0f6c9
    277         C    1.59869e+07    4.20691e+07   -2.60822e+07  6212c89113dbc5a6  fcb2147e2b97e82f
    278         C        875.666           4351       -3475.33  62b240953cc5027b  98cad0f50b4a58fc
    279         C       0.666666            349       -348.333  62c96746c5de77b5  6be8dd837eeaf5ad
    280         C       0.999999             62            -61  63c15eb966cf503d  3729b728a116ca0d
    281         C       0.333333             65       -64.6667  63eb974fef8f06b4  b901583dc1054011
    282         C         175355         350617        -175262  63fd86063de069f8  135b1f28c8fb3bc8
    283         C       0.333333              4       -3.66667  640a78e2904403c8  8830d03147ad74fa
    284         C     1.8656e+06    2.68312e+06        -817520  642275578a6366d1  b3a17fc105286290
    285         C            389           2562          -2173  64371fc5607a1195  f9860fb6dc85eadc
    286         C    5.99062e+07    1.14588e+08   -5.46818e+07  64acb9d29d403493  c550067bb49088fa
    287         C       0.666666             55       -54.3333  64e4c5284e99c7da  c645ad644ac6efdb
    288         P    2.72246e+06    1.35811e+07   -1.08586e+07  66517c6f01ccc9ff  364f06e1b0bee239
    289         C        5.99999              4        1.99999  679f1591884cff41  aaf7656a90362788
    290         C    4.02477e+06    7.10273e+06   -3.07796e+06  680baa4f5dfb9140  7c1a69ca13324a20
    291         P        71434.3          73677        -2242.7  68f9d6fb23448608  7da130950123e40c
    292         C         289871          59920         229951  694b564a5ddca6af  330e52d15279a01e
    293         P    2.01079e+07    1.07746e+07     9.3333e+06  699068af4e23d633  294cb72877febef1
