CPU only time (ns): 1.38924e+10
PIM only time (ns): 6.37545e+09
Reuse offloading time (ns): 6.37093e+09 = CPU 1.01293e+06 + PIM 6.36982e+09 + REUSE 103320 + SWITCH 38880
============================================================
  BBLID  Decision            CPU            PIM     difference          Hash(hi)          Hash(lo)
     70         P    1.88909e+08    8.83145e+07    1.00594e+08  4149bd03d0d27f05  295d7d3705dacbdb
     71         C        5225.66          16290       -11064.3  421e5ce7a81396d7  5b954742c39f153d
     72         P            448            879           -431  437ce4c268cc3622  12122dd4e82139f8
     73         C        7.99999             36            -28  43ad0bcd7ab14268  e3a351d6934d1542
     74         C        3501.33           5566       -2064.67  43fd524374dcbdb9  0716c7e2f9212908
     75         C       0.666666             66       -65.3333  45beb231fd8d946f  4a7d4816538bc14d
     76         P    6.82851e+06    3.82289e+06    3.00562e+06  470e7cfd7e70e6e8  d6430cb9359148c5
     77         P         394225         200240         193985  4716aa7e47581f12  26688656e2f8885f
     78         P    1.41937e+07    8.04462e+06    6.14908e+06  474e0bc50ccd3996  3aec4f1dc91f9225
     79         P    2.07018e+07    9.65617e+06    1.10456e+07  4795c8693af60222  02ba09ed076428d5
     80         P        72329.9          14911        57418.9  482fe6b1e2b24a7f  0e4d601dec481eef
     81         P        69.3333             45        24.3333  495e4333512ec973  7b14af376eda71a7
     82         P    9.48082e+07    3.54584e+07    5.93498e+07  498532859a01715b  ce0b4763d4c824d5
     83         P     5.4894e+08    4.09933e+08    1.39007e+08  4b8ceb3c900c170c  3bb383161ede0f1b
     84         P        1560.33           1136         424.33  4b9e365ac9ff723b  a5ee021d06b74471
     85         P        76.6666            149       -72.3334  4d348ee1a5a56cb5  04cb85eb0e58c191
     86         P         114167          55000          59167  4f2fcfe36f5c4a6e  a23ad05b42af34aa
     87         P        38530.6          54773       -16242.4  50ad4f44a9414ff3  6dd4dae4e05b0591
     88         P         726940         286605         440335  5254a5aa1f0a3292  b8274a8fabbaf538
     89         C        5639.99          82240         -76600  53b6f99072068022  2461935ed1e8d1cf
     90         P    3.17813e+07    8.88461e+06    2.28967e+07  5472b05fd2363b97  311d14747fcfbb8f
     91         P        10457.7           3528         6929.7  56fe9c27870d3234  a85cba6855018685
     92         P    9.47515e+07     4.4161e+07    5.05905e+07  581ce039843e1733  26178a067681ff1b
     93         P    6.34746e+06    1.35875e+06    4.98871e+06  5979d7df48780af9  c67881e0cf9bb3e3
     94         P    1.02348e+09    8.46346e+08    1.77134e+08  5ddfb568429d486f  a8ab6cf7e694445a
     95         P        638.333            420        218.333  5e9a9f508259461c  d227624ddfb595b7
     96         P    1.32928e+08    4.38696e+07    8.90584e+07  5eaa4ed8acfc2660  aafa7f6217e054c4
     97         P        42.6666             20        22.6666  611f034b271fbf15  f5a679f6d738712a
     98         P        42.6666            126       -83.3334  6128256e2eaee0e9  332dcf2ddf5fe8af
     99         P    1.42498e+07    1.14817e+07     2.7681e+06  61c8fd498cad4446  266389ad24cc7c5f
    100         P         853332         575641         277691  6253c274246d9d5c  69c891f5ce5b5617
    101         P    1.87501e+06         400000    1.47501e+06  636c80b4dca93910  4f25240970b1ad43
    102         P    1.34267e+09    3.14359e+08    1.02831e+09  67d5261cddb506d6  a2c4d4c4a1bd1f1d
    103         P        42.6666             20        22.6666  69818ea7ffc724df  91f0c52abea5ec1d
    104         P    1.62849e+08    8.02588e+07    8.25902e+07  69ec8cdf219a7939  fade8ce5cd6beb29
    105         P         163528          90525          73003  6a4bcbcc5ca070dc  050822c758ec7a66
    106         P        279.333            148        131.333  6a660b02ede232b8  f03e59b5029c6efd
    107         P        853.332            190        663.332  6bc0ea0ef0a3be51  eb5ac7a208ed977a
    108         P    1.11544e+08    2.65572e+07    8.49868e+07  6c97b60c1fb0f6d0  c05aacbea9b5eb4d
    109         P        2341.33           1519         822.33  6cdc1d82693a50dc  12dbcfb258865c55
    110         P    3.79142e+08    2.49882e+08     1.2926e+08  6f0be47d9bf7e9f0  42bc79c77bcb02d9
    111         C        106.667           1011       -904.333  6f26eea3d693e7dc  a2e8cc51bcd40115
    112         P    2.40783e+06         765154    1.64268e+06  6f9e3aff6a27652e  ccbd2454d76dd29c
    113         P    2.16466e+07    8.86415e+06    1.27824e+07  714a59ca8002c818  1a361c5042be6d55
    114         P    1.17333e+06         605510         567820  7194098ec10e9ab1  b7a11f64c9b60c87
    115         C        1.66667            303       -301.333  722c3140689f49ac  903dec25374d05dc
    116         P    2.53048e+06         575949    1.95453e+06  72b08a7f62a0e5d1  681c1b1ce6b3d5f7
    117         P        2364.66           3113        -748.34  7304fbad91dc0692  5123b4de565d4295
    118         P    6.37691e+08    3.49915e+08    2.87776e+08  756d1f03fabe7bb8  296ff17649554560
    119         P     3.9994e+07    2.88241e+07    1.11699e+07  7594488e05bda552  12c5511d61bf082c
    120         C        65.3333            819       -753.667  75b395d1370cbbf1  dc100461e307dfcf
    121         P    3.56939e+07    1.54189e+07     2.0275e+07  78d55d0054fd9f17  fd1d8f8da850f7d1
    122         P    1.89907e+06         842066      1.057e+06  798c9d7ca6f88216  d9af7b0bde8a7c87
    123         P    2.30424e+06         400000    1.90424e+06  7e068ebbfbe627a6  78c62ab0a33d0f07
    124         P    1.35766e+07    3.32767e+06    1.02489e+07  7ecced09cefdfac7  7424be70d8585d4c
    125         P         115038          60024          55014  80e74fcf214cfe1d  2e86a28b5e42bf93
    126         P         655219         275000         380219  821c45f95baee4bb  73f68fc2605884d9
    127         C        63.3333            701       -637.667  843ad2bdf96b6f49  f6bd1f5e1cc3959e
    128         C        42.3333            307       -264.667  84b002b7471a1936  c8d61a06c9e18df8
    129         P        86.9999            283           -196  84ca31c5abfe67c8  fcf2945c3bbb131e
    130         P    2.54853e+08    4.34869e+07    2.11366e+08  8799df9890497fa4  bd99a6bb91fc283b
    131         P    5.99064e+08    1.76052e+08    4.23012e+08  87a7a0dfb66a8230  dc0cd7dcb9dfe591
    132         C        2.66666              8       -5.33334  88c01482e83956e5  d06ab2262f8230fb
    133         P    9.81267e+06    2.61818e+06    7.19449e+06  89c5626f1bb96f1d  5077dd185de46488
    134         P        701.666          10154       -9452.33  89fd1ef3c7ddd684  4c2d6f612c6b7c7e
    135         P            110            429           -319  8a3928adf938968c  762165b395798482
    136         P        1733.33             30        1703.33  8dcb14548d17b90a  4d7cbbe219fcac99
    137         C           2392          12833         -10441  8e89862a8b4f0d20  c33012d8dace680f
    138         C        4.99999             63            -58  8eae5ece65ae25df  fca356d372345981
    139         C        40460.3         263266        -222806  8f6aaa9255f71e2e  2b18aed999644d34
    140         C        5.99999             59            -53  904ece0ac77078c7  cbe84408e7654f17
    141         P         920679         804473         116206  9132031d4652dc18  dff3f59eb76a2c18
    142         C        1.66667            118       -116.333  91465e244a673400  096c676dc0d49d14
    143         P    8.22496e+07     2.6155e+07    5.60946e+07  933a3c995577b8cc  5c95704b55cafded
    144         P    1.02486e+08     2.4209e+07     7.8277e+07  96942921bc23026b  e664245c367395df
    145         C        169.666           1964       -1794.33  9777e73159d80aa6  6d0de1fdae032839
    146         P         984546         855231         129315  99b62c03b76be7d3  208531946081bb91
    147         P    1.61531e+06         800000         815310  99fc0f301d42ebcf  e3f780d5237812f4
    148         C        1.33333            524       -522.667  9a0178e8f00f80f9  83cc843779dd3bb6
    149         P        11444.7           3233         8211.7  9a66dddc915e46e5  ec1c6c00c470c2d5
    150         P    1.86764e+06    1.15127e+06         716370  9b85cf73c6034c7f  ea625e25bcdd1971
    151         C        3682.33          82611       -78928.7  9c60c557d64674a1  cbd89d38fb440839
    152         P            192            203            -11  9de6f7e95d83324b  0673aa17217bd9ae
    153         P        700.333           1970       -1269.67  a13c5fdc84668145  a1b214592f2c6b8c
    154         P        55171.3         402407        -347236  a1c75e69c2099d73  eccb48ce928c68de
    155         C        677.333            138        539.333  a1e95c31470eeedc  a52cbf64c8cba96f
    156         P         976908         463560         513348  a37a1762110dc4bc  e8e96cbbf8ce52e6
    157         P         106667         309313        -202646  a3a05abd34bdb1db  699d21b7698edf00
    158         P    1.45869e+07    1.09919e+07      3.595e+06  a3dc66eeda383674  ee9ae0ce9821e119
    159         P         123705          20000         103705  a444865ae0ef896b  f559789da2db0ff7
    160         P        2324.33            725        1599.33  a55e378dc07ba5b8  d15b959f51267e9b
    161         P           2362           1744            618  a62f018a901d5a02  9b05d1458145616e
    162         C       0.666666            111       -110.333  a63eae6651aa89c5  6a1652e91f6d499c
    163         P        53335.3         286411        -233076  a674e012d33bc3a9  db076dda5f4d7277
    164         P         766716         434601         332115  a85ab3ba6b6fa9fa  432c1551fa16d238
    165         P        94975.9          25000        69975.9  ab37106e407bb69d  19e13eebdcf50d1c
    166         P    1.38254e+06         804436         578104  ab571eebc8e2ea4c  9cce4d523ca1d3a8
    167         P        3162.66           8749       -5586.34  ac0f0c7a95f1c4ef  a4b0fb9fc155338a
    168         P    1.70667e+06    1.06226e+06         644410  ac1b6a7623084705  03ac49ed615a8eb9
    169         P    2.89876e+08       1.32e+08    1.57876e+08  acbeacb319b3c828  27f5e3274aa5a871
    170         P    1.74661e+07    6.22207e+06     1.1244e+07  ad149f78cbb25e2a  6a240922b26ce514
    171         P    8.17155e+08    2.54916e+08    5.62239e+08  ae3ace149ab92ee5  c1c82c8c80b45a20
    172         P        1693.66            200        1493.66  ae98ea62f5e5b501  686bcaad0245ecd3
    173         P        15192.3           9826         5366.3  afcdc40a5d6e96d2  20df980b2b0a6418
    174         P    3.26648e+08     1.9991e+08    1.26738e+08  b18bd1f18b4ed87b  c1bcace62e0cc231
    175         P    1.73175e+08    9.69348e+07    7.62402e+07  b22596e4cf7164e6  ef9e205e78c0949c
    176         P    5.55245e+06    1.16742e+06    4.38503e+06  b28080edbbb075f1  74db659e4532095a
    177         P         772297         200000         572297  b2b746b9ea6d9dd1  3d6d9f016f567ffc
    178         P         199208          50000         149208  b3e6f690bcbd34d4  9d542435483c338c
    179         C       0.666666             55       -54.3333  b48a42b2f510d54b  ea7ec2e4c7866b36
    180         P         959927         881173          78754  b64641f95ae3250a  184c664b52181032
    181         P    3.24732e+08    7.97234e+07    2.45009e+08  b7f9a3310e39f4aa  9d97aabb26d3cede
